A1;A2;A3;A4a;A4b;A4c;A5;A6;A7;D01;D02a;D02b;D02c;D17;D18;D19;Q01;Q02;Q03;Q04a;Q04b;Q04c;Q04d;Q04e;Q04f;Q04g;Q05a;Q05b;Q05c;Q05d;Q05e;Q06a;Q06b;Q06c;Q06d;Q07;Q08;Q09;Q10b;Q10c;Q11a;Q11b;Q11c;Q12P1b;Q12LHb;Q12LHb_Otro;Q12LHc;TextoQ12LHc_1;Q12LHd;Q12RC;Q12P2b;Q13P1b;Q13P2b;Q14a;Q14b;Q18;Q17a;Q17b;Q17c;Q17d;Q17e;Q15a;Q15b;Q15c;Q15d;Q16a;Q16b;Q16c;Q21;Q22c;Q22d;Q22e;Q23a;Q23b;P01;P02a;TextoP02a;P02b;P02c;P03;P04;P05;P06;P07a;P08a;P07b;P08b;P07c;P08c;P09;OCUPACION;ENCUEJEFE;OCUPACJEFE;D06;INSTRUC;D04;D05;D09a;D09b;D10a;D10b;D10c;TextoD10c;D10d;D10e;D12a;TextoD12a_1;D12b;D12c;TextoD12_1;D14;D16;TextoD16_1;D20;ACTIVIDAD;NIVELOCUP;CLASESOC;NIVELEDUC;EDUC;EDUC1;ESEC;CSEC;CSEC3;CSEC2
258;G017;2;2;1;2020;108.481.113.361.927;1;2;1;18;12;1940;11;11;11831;1;2;2;2;4;2;4;4;2;4;4;4;2;4;4;1;2;5;2;3;2;2;98;1;4;1;3;30;320;;990;ALVARO GARCIA;1;2;30;30;30;4;4;1;3;7;9;10;8;8;3;1;0;8;7;6;4;1;3;4;2;2;3;20;;20;99;1;1;1;1;;;;;4;4;1;14;1;26;;26;1;1;7;0;3;9;998;;9;5;3;;7;;;1;121;;3;4;3;4;4;2;2;7;2;2;1
259;G027;2;2;1;2020;116.672.730.975.602;1;2;1;5;1;1990;19;14;19001;2;3;2;2;2;3;4;4;2;4;1;8;2;1;4;1;3;5;3;3;4;4;3;3;4;5;4;20;250;;998;;1;1;10;20;95;4;4;5;2;8;5;10;6;3;2;8;0;2;4;5;2;3;2;4;8;2;5;20;;20;20;2;2;9;2;;;;;3;2;1;24;1;24;1;56;4;2;5;0;2;9;998;;9;5;3;;;;;1;121;;2;1;6;1;6;3;3;12;1;1;1
260;G024;1;2;1;2020;0.832052522295433;1;2;2;6;7;1961;10;10;10014;2;3;2;2;2;2;2;2;2;2;2;1;2;4;4;1;2;2;2;1;2;2;3;2;3;4;2;20;230;;990;ERNESTO TALVI;98;1;10;98;10;8;4;5;0;8;7;0;5;0;10;7;0;4;9;8;2;3;1;1;2;2;3;20;;20;99;1;9;2;2;3;4;;;;;1;40;1;40;1;54;4;2;97;9999997;1;1;1;;4;4;3;;7;;;1;121;;2;2;6;1;6;3;3;12;1;1;1
261;G017;2;2;1;2020;0.832052522295433;1;2;2;10;6;1963;10;10;10039;2;4;5;4;2;5;1;8;1;5;3;2;5;5;5;2;2;4;5;2;1;1;1;98;2;1;4;30;350;;990;609;1;2;30;30;30;5;5;0;3;10;98;98;98;8;0;0;0;8;0;0;3;1;2;3;2;2;1;20;;20;99;2;1;2;2;4;4;;;;;1;55;1;55;1;21;1;2;4;0;3;9;998;;9;9;8;;7;;;1;121;;3;2;1;5;3;2;1;4;4;4;3
262;G027;2;2;1;2020;0.832052522295433;1;2;2;23;4;1949;10;10;10027;2;3;4;2;2;3;2;4;2;2;4;4;2;4;4;2;2;4;4;3;2;2;5;5;4;3;3;98;999;;997;;1;2;97;97;97;8;4;5;4;9;9;9;7;5;5;3;3;6;5;5;2;97;3;1;2;2;2;20;;20;20;1;1;2;9;3;2;;;;;2;22;2;26;8;61;1;2;6;0;1;1;1;;2;2;4;;7;;;2;121;;3;1;3;4;5;3;2;8;2;2;1
263;G024;1;2;1;2020;0.832052522295433;1;2;2;12;2;1967;10;10;10007;3;2;3;3;4;3;3;8;2;4;2;4;4;4;4;4;2;4;4;2;2;2;2;2;3;2;2;10;198;;998;;2;1;10;10;10;5;2;8;2;10;6;6;6;2;10;8;6;2;10;6;2;2;2;1;2;2;1;20;;20;99;9;1;2;1;;;;;3;2;2;55;2;46;1;16;1;2;97;9999997;3;9;998;;9;4;3;;7;;;1;121;;2;2;3;4;2;1;1;5;3;4;3
264;G020;2;2;1;2020;0.832052522295433;1;2;2;7;10;1935;10;10;10010;2;2;2;2;3;2;4;4;4;4;4;4;7;4;8;4;4;4;4;3;4;3;3;2;4;8;2;20;230;;998;;2;1;10;20;10;4;4;8;5;8;8;98;6;3;8;8;5;5;9;9;2;3;2;1;2;2;3;32;;20;99;1;9;2;2;2;2;;;;;2;14;1;41;;57;1;2;5;0;1;1;1;;2;5;8;;7;;;1;121;;2;4;6;1;6;3;3;12;1;1;1
265;G027;2;2;1;2020;104.804.752.757.694;1;2;2;1;5;1978;19;19;19521;3;3;4;8;2;4;2;2;2;2;8;8;4;2;8;2;2;2;4;1;2;3;98;98;3;4;8;20;230;;998;;2;1;10;98;10;3;2;0;98;8;98;98;98;0;0;2;0;0;0;2;4;3;2;1;2;2;8;20;;20;20;2;1;2;2;;;2;2;;;9;10;2;52;;26;1;2;1;0;1;2;998;;9;4;2;;;;;1;121;;7;4;1;5;4;2;2;5;3;4;3
266;G011;2;2;1;2020;108.481.113.361.927;1;2;1;1;5;1955;10;10;10041;2;2;2;2;2;4;2;2;2;2;2;2;2;2;4;2;4;4;4;3;2;2;97;2;3;2;3;20;230;;990;TALVI;2;1;96;96;96;3;4;5;2;6;5;7;4;0;4;5;2;5;8;8;3;3;2;1;2;2;3;21;;99;99;2;1;9;1;;;4;4;;;1;51;1;51;1;16;1;1;6;0;2;9;998;;9;5;3;;7;;;1;121;;3;2;2;5;2;1;1;4;4;4;3
267;G027;2;2;1;2020;0.894882409322849;1;2;2;10;12;1985;10;10;10052;4;3;2;2;4;2;4;2;2;4;2;4;4;4;2;1;1;2;2;4;2;2;98;97;2;2;8;98;999;;997;;2;2;97;91;98;2;4;5;5;5;5;5;5;3;4;4;3;3;4;4;2;96;9;;2;2;2;20;;20;30;2;2;2;2;;;2;2;;;1;26;2;46;8;56;8;2;4;0;1;1;1;;2;2;3;;;;;1;121;;2;1;3;4;6;3;3;9;2;2;1
268;G020;2;2;1;2020;108.481.113.361.927;1;2;1;20;9;1957;10;10;10035;1;2;2;1;2;3;5;5;1;3;3;4;2;2;5;1;1;5;3;2;3;2;1;1;3;1;8;30;310;;990;90;1;2;30;30;30;5;5;1;1;8;9;10;7;10;1;0;0;10;4;3;2;1;1;4;2;2;2;99;;20;99;1;1;2;1;;;;;9;2;2;14;1;24;;56;3;2;6;0;3;9;998;;9;5;3;;7;;;1;121;;3;4;6;1;6;3;3;12;1;1;1
269;G025;2;2;1;2020;0.832052522295433;1;2;2;25;2;1945;19;19;19001;2;2;2;2;4;4;4;4;1;4;4;2;2;4;4;1;2;5;2;3;2;1;1;1;2;1;4;30;340;;998;;2;2;30;30;30;5;5;5;2;9;6;10;8;10;2;5;0;10;3;7;1;1;1;4;8;2;3;31;;31;99;2;1;2;2;;;;;1;3;1;14;1;22;;54;1;2;5;0;3;9;998;;9;5;3;;;;;1;121;;2;4;5;2;6;3;3;11;1;1;1
270;G027;2;2;1;2020;108.481.113.361.927;1;2;1;25;11;1965;16;16;16001;2;2;2;2;2;4;4;2;2;2;4;4;2;2;3;4;4;4;5;3;2;3;2;2;8;4;3;10;197;AMARILLA;990;15;2;1;10;10;10;5;5;10;0;10;5;5;98;0;10;5;5;0;10;5;4;2;1;1;2;2;2;10;;10;10;2;2;2;2;;;;;1;1;1;67;1;67;1;26;1;2;2;0;1;1;1;;3;4;3;;;;;1;701;;5;3;3;2;4;2;2;7;2;2;1
271;G020;2;2;1;2020;108.481.113.361.927;1;2;1;22;9;1952;11;11;11625;3;4;3;2;2;4;3;4;2;4;2;2;2;2;4;2;2;4;4;2;4;3;97;2;3;4;8;91;999;;991;;91;91;91;96;96;8;4;8;4;5;4;5;3;3;5;5;7;3;6;5;3;2;2;1;2;2;2;11;;11;99;2;2;9;2;;;;;2;2;2;14;1;50;;16;1;2;4;0;1;1;1;;2;4;8;;7;;;1;121;;2;4;3;5;2;1;1;5;3;4;3
272;G025;2;2;1;2020;0.832052522295433;1;2;2;16;4;1953;10;10;10023;2;2;2;1;4;2;1;4;2;4;4;2;2;2;4;2;2;2;4;1;2;2;1;97;4;4;8;30;340;;990;BERGARA;3;2;30;30;30;4;5;5;5;10;10;10;8;10;0;0;0;8;0;4;3;5;3;2;2;2;2;10;;10;99;2;1;2;2;;;4;3;;;2;70;1;70;1;24;3;2;2;0;1;2;998;;9;4;4;;7;;;1;121;;2;3;2;2;4;2;1;6;3;4;3
273;G011;2;2;1;2020;0.832052522295433;1;2;2;1;1;1942;11;11;11322;3;4;4;2;4;4;5;2;2;3;2;8;4;4;4;5;2;4;5;1;4;3;2;2;5;5;2;10;198;;997;;1;1;10;10;10;4;4;10;0;10;8;5;5;0;10;8;4;0;10;8;4;2;2;1;2;2;2;99;;10;99;2;1;2;1;;;;;4;2;1;14;1;52;;16;2;2;97;0;2;9;998;;9;4;3;;1;7;;1;121;;1;4;1;5;2;1;1;3;4;4;3
274;G020;2;2;1;2020;0.832052522295433;1;2;2;10;9;1970;10;10;10004;1;1;1;2;4;4;2;4;4;4;4;4;2;2;4;2;2;4;5;3;4;4;2;2;4;4;3;10;120;;990;2004;1;1;10;10;10;5;5;6;3;6;7;8;5;1;10;0;6;2;9;0;2;2;1;3;2;2;3;20;;11;99;2;1;2;2;;;4;3;;;1;24;1;24;1;56;4;1;6;0;3;9;998;;9;5;3;;7;;;1;121;;1;1;6;1;6;3;3;12;1;1;1
275;G027;2;2;1;2020;0.832052522295433;1;2;2;1;1;1966;10;10;10035;2;3;2;1;2;4;3;4;2;4;4;4;4;4;4;2;2;5;2;2;1;2;2;2;4;4;3;10;110;;990;404;2;1;10;30;30;4;4;7;0;10;10;8;5;97;97;97;97;7;9;7;2;2;3;10;2;2;3;21;;20;10;2;1;2;2;;;;;2;3;2;22;1;22;1;64;1;2;5;0;1;1;1;;1;2;3;;;;;1;121;;3;1;5;2;6;3;3;11;1;1;1
276;G020;2;2;1;2020;104.804.752.757.694;1;2;2;16;2;1979;11;11;11221;4;3;3;2;4;4;4;4;4;4;4;4;8;4;4;5;2;4;2;8;2;7;97;3;2;1;8;60;600;;998;;1;2;30;20;91;1;5;5;2;10;9;5;98;0;0;5;0;0;0;5;2;96;9;;8;2;8;30;;11;99;1;1;2;2;4;2;;;;;1;13;2;51;;26;1;2;5;0;1;1;990;NUEVA APOSTOLICA ;5;2;3;;7;;;1;121;;3;4;2;5;4;2;2;6;3;4;3
277;G025;2;2;1;2020;108.481.113.361.927;1;2;1;7;7;1958;10;10;10011;2;2;2;2;2;4;4;4;2;2;2;2;3;4;4;2;2;2;2;3;2;1;1;1;2;1;3;30;362;;990;567;97;2;30;30;30;5;5;2;2;10;10;10;10;10;0;0;0;10;0;0;1;1;1;4;8;2;2;31;;42;99;2;1;2;1;;;;;2;9;2;14;1;26;;25;3;2;97;9999997;1;1;1;;1;4;3;;;;;1;121;;2;4;3;4;4;2;1;7;2;2;1
278;G012;1;2;1;2020;0.832052522295433;1;2;2;18;12;1965;13;13;13001;2;3;2;2;4;4;4;4;2;4;4;4;4;4;4;2;2;4;2;3;2;2;1;1;3;1;4;30;350;;990;609;3;2;30;30;30;5;4;4;1;8;8;10;6;9;4;4;0;10;2;7;2;1;2;4;2;2;2;20;;10;99;2;2;2;2;;;2;9;;;2;31;1;31;1;26;2;1;4;0;1;2;998;;9;5;3;;7;;;1;121;;1;1;6;1;4;2;2;10;1;1;1
279;G013;2;2;1;2020;0.832052522295433;1;2;2;22;3;1971;10;10;10035;4;4;4;4;4;4;4;4;2;4;4;4;4;2;4;2;2;2;5;1;5;2;1;98;4;1;5;30;350;;990;609;2;2;30;30;30;4;5;0;10;98;0;10;0;10;0;0;0;10;0;0;4;1;2;3;2;2;1;30;;30;99;2;1;2;1;;;;;3;4;3;54;2;36;1;26;1;2;3;0;1;2;998;;9;5;1;;7;;;1;121;;2;2;1;5;4;2;2;5;3;4;3
280;G023;1;2;1;2020;136.642.050.352.914;1;2;1;1;10;1976;11;11;11828;3;3;4;2;1;4;2;3;2;2;4;3;4;4;4;5;4;3;5;2;2;3;2;2;4;3;2;10;112;;990;HERRERISMO;2;1;10;10;10;4;4;9;3;9;7;7;7;0;10;5;8;4;10;7;3;2;1;1;2;2;3;11;;11;11;2;1;2;1;;;4;4;;;2;13;1;76;1;32;1;1;3;0;1;1;990;EVANGÉLICO, ELMIC;3;2;3;;4;;;1;121;;5;4;0;6;3;2;1;3;4;4;3
281;G012;1;2;1;2020;108.481.113.361.927;1;2;1;26;7;1973;12;10;12523;1;1;1;1;4;3;5;4;1;4;2;4;7;1;8;2;4;4;4;2;2;3;3;3;4;2;4;20;250;;990;9007;98;1;10;20;10;4;4;5;4;8;7;10;5;0;6;8;0;0;5;7;2;3;2;8;2;2;3;20;;20;99;2;9;9;9;;;;;2;2;1;61;1;61;1;57;1;1;97;0;1;1;13;;3;2;3;;7;;;1;121;;5;3;6;1;6;3;3;12;1;1;1
282;G021;1;2;1;2020;108.481.113.361.927;1;2;1;25;3;1958;10;10;10041;2;2;2;1;1;2;5;4;2;2;2;2;2;4;5;4;4;2;4;3;4;3;8;97;3;4;4;50;500;;990;1969;1;2;96;50;96;4;4;0;8;7;8;10;7;8;7;3;0;7;8;8;3;8;2;4;2;2;2;11;;11;99;1;1;2;1;;;;;4;4;2;14;1;47;;23;3;2;1;0;1;1;1;;5;2;3;;7;;;1;121;;1;4;3;4;3;2;1;6;3;4;3
283;G011;2;2;1;2020;0.832052522295433;1;2;2;5;5;1957;10;10;10052;2;1;2;2;4;2;4;4;2;4;4;4;4;2;4;2;2;2;2;3;2;2;1;1;4;2;4;30;310;;990;PS 90;1;2;30;30;30;4;4;0;0;10;10;10;98;10;0;0;0;10;0;0;2;1;1;4;2;2;1;20;;20;99;1;1;2;1;;;4;4;;;2;14;1;50;;24;1;2;5;0;2;9;998;;9;5;1;;7;;;1;121;;2;4;3;5;4;2;1;7;2;2;1
284;G019;1;2;1;2020;0.832052522295433;1;2;2;10;9;1966;10;10;10060;4;4;4;2;2;4;2;2;2;2;3;4;4;2;2;5;5;4;4;2;2;2;1;3;2;2;4;30;360;;990;ANDRADE;2;2;30;30;30;5;4;4;0;10;10;10;8;9;6;0;0;10;4;0;3;1;3;4;8;2;2;11;;11;99;2;1;2;2;;;2;2;;;2;10;2;76;;24;1;2;2;0;1;2;998;;9;5;3;;7;;;1;121;;2;4;0;6;4;2;1;4;4;4;3
285;G012;1;2;1;2020;136.642.050.352.914;1;2;1;3;6;1976;28;28;28001;1;1;2;2;2;4;4;4;4;2;5;5;2;2;5;4;4;2;4;2;5;3;4;4;4;4;4;74;740;;990;MARTIN SOLIS ECHEVERRIA;3;1;96;10;10;4;5;6;4;6;6;8;6;2;5;6;8;2;6;6;3;4;2;1;1;2;2;10;;10;99;1;2;2;2;;;1;1;;;1;66;1;66;1;57;3;2;5;7000;1;1;1;;4;2;3;;7;;;1;121;;1;3;6;1;6;3;3;12;1;1;1
286;G024;1;2;1;2020;0.832052522295433;1;2;2;15;8;1959;18;18;18001;4;3;4;2;4;4;4;2;4;2;4;2;2;4;4;4;4;2;4;2;2;2;1;1;4;5;4;30;397;GRACIELA VILLAR Y DANIEL MARTINEZ;998;;1;2;30;30;30;4;5;2;0;10;7;10;6;10;5;8;0;10;3;8;2;1;3;2;2;2;2;11;;11;99;1;1;2;1;;;4;2;;;2;14;2;20;;57;1;2;6;0;1;1;1;;1;5;4;;7;;;1;121;;2;4;6;1;6;3;3;12;1;1;1
287;G011;2;2;1;2020;108.481.113.361.927;1;2;1;22;10;1949;18;18;18001;2;2;2;2;3;2;2;2;2;2;2;2;4;4;2;4;4;4;4;1;4;3;2;2;2;3;1;10;110;;990;ALVARO DELGADO ;1;1;10;10;10;4;5;8;0;10;6;5;2;0;10;7;3;0;8;5;2;2;2;1;1;2;1;11;;11;99;1;2;1;1;2;4;;;;;1;14;1;52;;16;1;2;2;0;1;2;998;;9;4;7;;;;;1;121;;2;4;1;5;2;1;1;3;4;4;3
288;G012;1;2;1;2020;108.481.113.361.927;1;2;1;16;8;1959;12;12;12001;2;3;2;2;3;4;4;2;2;2;4;4;2;4;4;2;2;5;2;3;2;2;1;1;3;1;3;30;350;;990;609;2;2;30;30;30;4;5;4;4;10;10;10;10;10;0;0;0;10;0;0;2;1;2;4;2;2;2;20;;20;99;1;1;2;2;;;9;9;;;2;51;2;24;1;34;1;1;4;2000;2;9;998;;9;4;4;;7;;;1;121;;2;2;6;1;4;2;1;10;1;1;1
289;G011;2;2;1;2020;108.481.113.361.927;1;2;1;18;7;1948;10;11;10059;2;2;2;2;1;2;1;1;1;1;1;1;7;2;2;4;5;4;5;1;1;3;2;2;4;2;2;10;197;400;990;400;2;1;10;10;10;4;4;10;0;10;0;10;9;0;10;4;9;0;10;0;4;2;2;1;2;2;2;20;;20;99;2;1;1;2;2;2;;;;;1;14;1;23;;24;3;2;2;0;1;1;1;;2;4;3;;7;;;1;121;;1;4;5;2;4;2;1;9;2;2;1
290;G013;2;2;1;2020;0.832052522295433;1;2;2;19;2;1969;10;10;10059;2;2;2;1;2;4;2;4;4;5;2;4;8;4;4;2;2;2;4;2;2;4;3;3;5;5;3;20;230;;990;660;3;1;10;10;10;5;5;7;4;6;6;8;5;3;7;10;7;0;8;10;3;3;2;1;8;2;3;20;;20;10;9;9;9;2;;;4;4;;;1;46;2;46;1;26;1;2;97;0;1;1;1;;5;2;3;;7;;;1;121;;4;2;3;4;4;2;2;7;2;2;1
291;G023;1;2;1;2020;0.832052522295433;1;2;2;1;1;1974;14;14;14001;1;1;2;1;2;4;2;4;2;4;2;4;4;4;5;1;2;4;5;2;1;4;2;4;3;3;2;10;112;;990;71;2;1;10;10;10;2;2;10;0;10;8;9;2;0;10;5;10;0;10;5;2;2;1;1;1;2;2;10;;10;10;2;1;1;1;2;2;;;;;2;22;1;22;1;64;4;2;6;0;1;1;1;;1;4;3;;;;;1;121;;4;1;5;2;6;3;3;11;1;1;1
292;G021;1;2;1;2020;0.832052522295433;1;2;2;7;8;1963;10;10;10057;1;2;2;2;2;4;2;2;1;2;4;2;4;1;2;1;1;4;2;1;1;1;1;1;4;1;5;30;360;;990;1001;2;2;30;30;30;5;5;5;5;10;10;98;6;7;0;1;98;7;0;2;1;1;1;2;1;2;1;11;;30;99;2;1;1;1;;;2;2;;;1;13;2;70;;16;1;2;98;0;1;1;3;;1;2;3;;7;;;1;121;;3;4;2;2;2;1;1;4;4;4;3
293;G019;1;2;1;2020;108.481.113.361.927;1;2;1;22;12;1967;10;10;10039;2;2;2;2;4;2;4;5;2;5;4;4;1;2;5;8;1;2;2;3;1;1;7;3;3;3;8;40;400;;990;MIERES;1;1;10;50;30;2;2;5;2;6;7;8;4;5;5;4;4;4;7;7;2;7;2;11;8;2;2;10;;20;99;1;2;2;2;;;;;2;2;1;51;1;51;1;26;1;7;5;9999998;1;1;1;;3;4;3;;7;;;1;121;;4;2;2;5;4;2;2;6;3;4;3
294;G021;1;2;1;2020;104.804.752.757.694;1;2;2;30;1;1981;10;10;10014;2;2;2;1;2;4;2;5;2;2;2;2;4;4;4;1;1;2;2;1;1;3;4;2;2;4;1;10;112;;990;71;2;1;10;20;10;4;4;8;6;8;8;9;7;4;8;6;8;3;8;6;2;4;2;1;2;2;2;20;;11;99;1;1;2;2;;;4;4;;;2;66;1;66;2;56;4;2;6;0;1;1;1;;2;4;4;;3;;;1;121;;3;3;6;1;6;3;3;12;1;1;1
295;G023;1;2;1;2020;0.832052522295433;1;2;2;1;1;1954;12;12;12001;2;2;2;1;2;4;2;5;2;1;2;2;4;2;2;4;2;4;4;1;2;2;98;2;4;4;4;10;198;;998;;2;2;10;30;30;4;4;5;3;8;7;98;7;4;6;4;0;5;9;3;2;2;2;3;2;2;2;10;;10;12;2;1;2;1;;;;;1;2;2;55;2;72;2;16;1;2;3;0;3;9;998;;9;5;3;;1;;;1;121;;2;2;1;6;2;1;1;3;4;4;3
296;G019;1;2;1;2020;0.894882409322849;1;2;2;12;5;2000;10;10;10007;3;2;2;2;4;4;4;2;2;4;4;2;2;4;4;2;2;2;4;2;2;3;8;2;2;2;2;10;110;;990;404;1;1;10;90;90;3;4;10;0;10;9;5;7;3;9;8;7;4;9;8;3;2;7;1;2;2;2;10;;10;99;2;1;2;1;;;4;3;;;3;11;2;44;;51;1;2;98;9999998;1;1;1;;2;4;3;;7;;;1;121;;3;4;6;1;5;3;2;11;1;1;1
297;G012;1;2;1;2020;0.832052522295433;1;2;2;26;6;1937;19;19;19621;4;3;4;2;1;4;2;2;2;2;2;2;3;2;2;2;2;4;5;2;4;4;98;2;4;4;8;91;999;;991;;91;91;91;98;98;3;4;8;3;8;6;98;5;3;8;7;98;1;8;8;3;2;2;1;2;2;2;10;;10;10;2;1;2;2;4;4;;;;;2;14;1;55;;16;2;2;1;0;1;1;1;;1;4;3;;7;;;1;121;;2;4;1;5;2;1;1;3;4;4;3
298;G026;2;2;1;2020;108.481.113.361.927;1;2;1;24;8;1954;11;11;11530;1;1;1;1;4;4;4;8;1;1;4;4;2;4;4;2;2;4;4;2;1;3;8;8;2;2;3;50;500;;990;326;1;2;30;50;30;1;1;5;8;6;2;4;0;0;0;0;0;0;0;0;1;8;1;3;2;2;1;20;;20;99;1;1;1;2;;;;;1;3;1;76;2;75;3;15;1;2;1;0;3;9;998;;9;5;3;;7;;;1;121;;3;3;1;6;2;1;1;3;4;4;3
299;G023;1;2;1;2020;0.894882409322849;1;2;2;1;2;2000;10;10;10022;1;2;2;1;4;4;4;5;3;4;4;5;3;4;5;1;1;5;1;2;1;8;1;1;3;1;4;30;350;;990;609;3;2;30;90;90;4;5;0;0;10;6;10;7;7;0;5;0;6;0;0;1;1;1;4;2;2;1;11;;20;99;2;2;2;1;;;;;4;4;1;11;2;55;;26;4;2;2;0;3;9;998;;9;5;3;;;;;1;121;;5;4;1;5;4;2;2;5;3;4;3
300;G013;2;2;1;2020;0.832052522295433;1;2;2;27;7;1940;10;10;10012;2;2;2;2;3;4;2;2;7;2;4;2;2;4;4;2;2;4;4;3;2;1;1;1;3;1;5;30;340;;990;738;1;2;30;30;30;7;4;5;4;8;8;10;7;10;2;2;0;9;2;2;2;1;1;4;2;2;1;99;;99;99;1;2;2;2;2;4;;;;;2;14;1;22;;37;2;2;3;0;3;9;998;;9;5;3;;7;;;5;121;;1;4;5;2;5;3;2;10;1;1;1
301;G021;1;2;1;2020;0.832052522295433;1;2;2;12;8;1962;10;10;10014;2;2;2;2;4;4;4;4;2;4;4;4;2;4;2;5;2;2;5;2;2;3;2;2;2;4;1;10;110;;990;404;2;2;10;10;10;4;4;10;4;8;8;10;98;0;10;8;6;6;10;10;3;2;2;1;2;2;2;10;;20;99;2;1;2;1;;;4;4;;;2;14;2;66;;56;1;2;98;0;1;1;1;;5;2;3;;7;;;1;121;;6;4;6;1;6;3;3;12;1;1;1
302;G019;1;2;1;2020;108.481.113.361.927;1;2;1;30;5;1941;10;10;10011;2;2;2;2;3;3;4;3;4;4;2;2;3;4;2;2;2;4;4;2;1;3;2;2;4;3;3;20;230;;990;TALVI;1;1;10;20;10;5;5;7;3;7;7;7;5;3;6;7;6;3;7;8;3;2;8;1;8;8;3;20;;20;99;2;2;1;2;;;;;3;1;1;14;1;70;;26;1;2;3;0;3;9;998;;9;5;3;;7;;;1;121;;2;4;2;2;4;2;2;6;3;4;3
303;G023;1;2;1;2020;0.832052522295433;1;2;2;1;1;1939;13;13;13622;2;1;1;1;2;4;8;1;2;4;2;8;2;2;5;3;2;2;2;3;1;2;2;2;4;2;8;10;112;;990;71;1;1;10;10;10;4;5;10;4;10;98;10;98;3;10;8;10;6;10;4;2;2;1;8;2;2;4;10;;10;10;1;1;2;2;;;4;4;;;2;14;1;72;;26;2;2;2;12000;1;1;1;;2;1;3;;;;;1;121;;1;4;1;6;4;2;2;5;3;4;3
304;G012;1;2;1;2020;0.832052522295433;1;2;2;17;12;1964;27;27;27622;2;2;2;2;2;2;4;4;2;4;8;2;2;4;4;4;3;4;4;3;2;3;2;2;5;4;3;10;120;;990;404;2;1;10;10;10;4;5;8;5;8;8;10;7;1;8;8;6;1;8;8;2;2;2;1;1;2;3;10;;10;99;2;2;2;1;2;2;;;;;1;25;1;25;2;32;4;2;1;0;1;1;1;;2;2;3;;7;;;1;121;;1;1;5;2;3;2;1;8;2;2;1
305;G021;1;2;1;2020;0.832052522295433;1;2;2;14;11;1969;26;26;26001;3;3;4;4;2;4;1;8;2;2;2;2;2;2;4;2;2;4;4;2;2;4;2;2;4;5;2;10;160;;997;;2;2;10;10;10;1;1;8;1;9;1;4;2;0;10;0;0;4;7;5;2;2;3;1;2;2;2;20;;10;99;2;2;9;2;;;4;4;;;3;51;1;51;1;24;3;2;3;0;1;2;998;;9;5;3;;7;;;1;121;;4;2;2;5;4;2;1;6;3;4;3
306;G024;1;2;1;2020;108.481.113.361.927;1;2;1;25;5;1948;11;11;11828;2;8;8;2;4;2;2;2;2;2;2;2;4;4;4;2;2;2;4;3;4;7;97;97;5;8;7;98;999;;997;;2;97;91;97;91;3;5;97;97;97;97;97;97;97;97;97;97;97;97;97;4;97;7;97;2;2;3;99;;99;99;9;2;1;9;9;9;;;;;9;14;1;51;;33;3;2;97;0;3;9;998;;9;5;7;;;;;1;121;;1;4;2;5;3;2;1;5;3;4;3
307;G021;1;2;1;2020;0.832052522295433;1;2;2;22;10;1963;10;10;10041;2;1;1;2;2;4;2;4;2;2;4;4;8;4;4;2;2;2;2;2;2;2;1;1;2;2;8;30;397;205;990;205;3;2;30;30;30;5;5;3;3;9;9;10;8;10;0;0;0;9;0;1;2;1;1;4;2;2;3;20;;20;99;1;1;2;1;;;;;2;9;1;24;1;24;1;56;1;7;6;0;1;1;1;;2;4;1;;3;;;1;121;;2;1;6;1;6;3;3;12;1;1;1
308;G024;1;2;1;2020;0.832052522295433;1;2;2;27;7;1969;11;11;11322;2;2;4;2;2;5;4;4;4;2;4;4;2;4;4;2;4;2;4;1;2;2;97;2;5;2;8;10;112;;990;71;1;2;10;10;10;2;7;6;3;6;8;0;4;2;6;4;1;3;6;4;2;2;2;4;8;2;1;20;;20;99;9;1;9;2;1;1;;;;;1;26;1;26;1;36;2;2;3;9999998;2;9;998;;9;5;3;;7;;;1;121;;2;1;3;4;4;2;2;7;2;2;1
309;G019;1;2;1;2020;116.672.730.975.602;1;2;1;13;8;1993;10;10;10004;4;2;1;2;2;4;4;4;2;8;4;4;3;2;5;5;5;2;2;2;1;2;10;1;4;5;4;50;500;;990;360 ABELLA;1;2;30;40;91;2;4;2;5;9;8;10;7;6;0;1;0;5;0;1;2;8;2;4;2;2;2;99;;20;99;1;1;9;2;3;2;;;;;2;24;2;51;8;54;4;2;5;0;3;9;998;;9;4;3;;7;;;1;121;;3;1;2;5;6;3;3;8;2;2;1
310;G012;1;2;1;2020;0.832052522295433;1;2;2;29;5;1968;12;10;12001;3;3;3;1;3;2;4;2;1;4;4;4;2;2;4;1;1;2;5;3;4;3;3;2;4;3;2;20;230;;990;TALVI;3;1;10;20;10;5;5;8;2;7;7;9;7;0;7;8;1;0;8;9;2;3;3;1;8;2;3;20;;20;99;1;2;9;2;;;;;3;1;1;44;1;44;1;56;1;2;97;0;1;1;1;;2;2;3;;7;;;1;121;;2;2;6;1;6;3;3;12;1;1;1
