A1;A2;A3;A4a;A4b;A4c;A5;A6;A7;D01;D02a;D02b;D02c;D17;D18;D19;Q01;Q02;Q03;Q04a;Q04b;Q04c;Q04d;Q04e;Q04f;Q04g;Q05a;Q05b;Q05c;Q05d;Q05e;Q06a;Q06b;Q06c;Q06d;Q07;Q08;Q09;Q10b;Q10c;Q11a;Q11b;Q11c;Q12P1b;Q12LHb;Q12LHb_Otro;Q12LHc;TextoQ12LHc_1;Q12LHd;Q12RC;Q12P2b;Q13P1b;Q13P2b;Q14a;Q14b;Q18;Q17a;Q17b;Q17c;Q17d;Q17e;Q15a;Q15b;Q15c;Q15d;Q16a;Q16b;Q16c;Q21;Q22c;Q22d;Q22e;Q23a;Q23b;P01;P02a;TextoP02a;P02b;P02c;P03;P04;P05;P06;P07a;P08a;P07b;P08b;P07c;P08c;P09;OCUPACION;ENCUEJEFE;OCUPACJEFE;D06;INSTRUC;D04;D05;D09a;D09b;D10a;D10b;D10c;TextoD10c;D10d;D10e;D12a;TextoD12a_1;D12b;D12c;TextoD12_1;D14;D16;TextoD16_1;D20;ACTIVIDAD;NIVELOCUP;CLASESOC;NIVELEDUC;EDUC;EDUC1;ESEC;CSEC;CSEC3;CSEC2
54;G016;2;1;29;2020;116.672.730.975.602;1;2;1;29;4;1993;11;10;11421;4;4;5;2;2;4;2;4;2;2;2;2;4;2;2;4;1;4;4;4;1;2;1;1;2;1;4;97;999;;997;;1;97;95;95;95;5;1;0;0;10;7;8;5;10;0;0;0;10;0;0;2;1;1;2;1;2;1;30;;30;99;2;1;2;2;;;2;1;;;1;70;1;70;1;33;2;1;4;0;3;9;998;;9;5;1;;;;;1;121;;8;3;2;2;3;2;1;5;3;4;3
55;G016;2;1;29;2020;0.832052522295433;1;2;2;20;11;1961;11;11;11221;1;1;2;2;4;2;4;2;2;4;2;2;2;4;4;1;1;2;1;3;1;3;2;2;5;5;2;10;197;CANELONES AGRUPACIÓN 133;990;133;1;1;10;70;10;4;2;10;8;10;8;8;8;5;10;10;9;7;10;9;4;2;1;1;2;2;2;30;;10;20;1;1;2;2;;;;;2;2;2;14;2;50;;54;1;2;5;9999998;1;1;1;;3;2;3;;;;;1;121;;3;4;3;5;6;3;3;9;2;2;1
56;G016;2;1;29;2020;0.894882409322849;1;2;2;1;1;1990;22;22;22621;1;2;2;1;1;4;2;4;2;4;4;4;2;4;4;2;2;4;4;1;2;3;98;98;3;2;4;10;160;;990;SARTORI;3;2;30;10;97;5;5;4;2;5;7;8;98;5;5;0;0;3;5;0;2;96;9;;8;2;3;30;;30;99;1;2;2;2;;;4;4;;;1;66;2;52;2;56;4;2;3;0;1;1;1;;1;2;4;;3;;;1;121;;3;3;1;5;6;3;3;7;2;2;1
57;G027;2;1;29;2020;108.481.113.361.927;1;2;1;20;12;1942;10;10;10004;1;1;2;2;4;2;4;2;2;4;4;2;2;4;5;2;2;4;2;3;2;1;1;1;2;1;4;30;340;;990;1338 MARIO BERGARA;1;2;30;50;30;5;5;3;2;10;10;10;8;10;0;0;0;7;0;0;1;1;1;4;8;2;1;99;;99;99;1;1;2;1;3;9;;;;;1;46;1;46;1;37;1;2;4;0;3;9;998;;9;5;3;;7;;;1;121;;1;2;3;4;5;3;2;8;2;2;1
58;G016;2;1;29;2020;0.832052522295433;1;2;2;22;3;1941;10;10;10007;1;2;2;4;2;4;4;4;2;4;2;2;4;4;2;2;4;4;4;3;2;3;3;2;4;2;2;10;111;;990;40 JAVIER GARCIA;2;1;10;20;10;4;5;8;1;8;7;7;5;1;10;9;8;1;10;9;1;2;1;1;2;2;2;20;;20;99;2;2;2;2;;;;;2;2;1;14;1;44;;56;2;2;6;0;1;1;1;;1;2;3;;;;;1;121;;1;4;6;1;6;3;3;12;1;1;1
59;G022;1;1;29;2020;0.832052522295433;1;2;2;5;12;1954;10;10;10008;1;2;2;8;4;2;4;7;7;4;4;4;2;4;4;2;2;4;2;3;2;1;1;1;3;1;8;30;360;;998;;2;2;30;30;30;5;5;1;3;10;10;10;10;10;0;0;0;10;0;0;7;1;2;98;2;2;2;10;;10;99;9;1;2;1;4;4;;;;;3;14;2;55;;26;2;2;2;0;1;2;998;;9;4;3;;7;;;1;121;;2;4;1;5;4;2;2;5;3;4;3
60;G017;2;1;29;2020;108.481.113.361.927;1;2;1;25;9;1952;10;10;10052;2;3;3;2;2;4;2;4;2;2;2;2;3;4;4;4;2;2;4;2;2;3;1;98;4;1;4;96;999;;996;;96;96;30;30;30;7;4;0;98;98;98;98;98;4;0;0;0;4;0;0;2;1;3;4;2;2;3;20;;20;99;2;1;2;2;2;4;;;;;2;14;2;22;7;24;1;2;4;0;3;9;998;;9;5;4;;7;;;1;121;;2;4;5;2;4;2;1;9;2;2;1
61;G026;2;1;29;2020;0.832052522295433;1;2;2;18;7;1957;18;16;18721;2;2;2;2;2;4;4;4;2;4;4;2;4;4;4;2;5;4;4;2;2;2;2;2;4;4;2;10;120;;990;250;3;1;10;10;10;4;4;8;4;8;8;8;6;4;10;8;8;3;10;9;2;2;1;1;2;2;2;10;;10;99;2;2;2;2;;;3;3;;;1;95;2;95;2;53;1;2;98;9999997;1;1;1;;3;2;3;;7;;;1;121;;4;3;5;2;5;3;2;10;1;1;1
62;G022;1;1;29;2020;0.832052522295433;1;2;2;1;5;1955;11;11;11421;2;2;2;1;7;2;4;4;1;1;8;1;1;2;5;2;1;4;4;1;1;3;2;2;5;5;4;10;198;;990;409;98;1;10;10;10;4;4;10;0;9;8;0;98;0;10;5;0;0;10;5;2;2;2;1;2;2;2;20;;11;20;2;2;2;2;2;2;;;;;1;14;1;50;;24;1;2;3;0;1;2;998;;9;1;7;;;;;1;121;;2;4;3;5;4;2;1;7;2;2;1
63;G013;2;1;29;2020;116.672.730.975.602;1;2;1;2;11;1985;10;10;10035;2;2;2;2;4;2;4;2;2;4;4;4;2;2;4;2;2;4;2;3;5;2;8;1;3;1;3;30;350;;990;609;2;2;30;30;30;4;2;0;1;7;8;10;7;8;3;4;0;7;0;0;1;8;2;4;2;2;3;30;;99;99;1;1;2;2;3;3;;;;;2;70;2;51;1;36;4;2;97;9999997;1;1;3;;4;5;4;;7;;;1;121;;3;3;2;5;4;2;2;6;3;4;3
64;G023;1;1;29;2020;0.832052522295433;1;2;2;10;1;1967;10;16;10039;1;1;1;1;5;5;4;2;1;2;2;4;5;1;4;5;5;4;5;1;1;4;3;3;5;5;2;20;210;;990;2000;2;1;95;20;10;5;5;10;0;8;10;9;2;0;9;10;9;0;10;10;1;3;1;1;1;2;1;20;;20;20;2;1;2;2;;;;;2;2;1;26;2;50;8;26;3;1;4;9999998;1;1;990;EVANGÉLICA REMAR;5;2;3;;7;;;1;701;;3;1;3;5;4;2;2;7;2;2;1
